"","x"
"972","K02275"
"973","K01921"
"974","K00075"
"975","K01924"
"976","K02563"
"977","K03588"
"978","K01925"
"979","K01000"
"980","K01929"
"981","K01928"
"982","K03587"
"983","K03438"
"984","K03925"
"985","K21420"
"986","K01754"
"987","K09771"
"988","K13584"
"989","K06911"
"990","K03809"
"991","K15777"
"992","K07260"
"993","K06177"
"994","K15034"
"995","K08968"
"996","K08191"
"997","K02554"
"998","K00040"
"999","K00045"
"1000","K01685"
"1001","K02529"
"1002","K01812"
"1003","K00065"
"1004","K00874"
"1005","K03929"
"1006","K13877"
"1007","K00970"
"1008","K02621"
"1009","K07336"
"1010","K01923"
"1011","K01952"
"1012","K01952"
"1013","K09125"
"1014","K06991"
"1015","K11206"
"1016","K04485"
"1017","K03832"
"1018","K09956"
"1019","K07478"
"1020","K00384"
"1021","K03752"
"1022","K02379"
"1023","K00253"
"1024","K01969"
"1025","K01968"
"1026","K07313"
"1027","K02472"
"1028","K01791"
"1029","K08679"
"1030","K00963"
"1031","K00012"
"1032","K00426"
"1033","K00425"
"1034","K03772"
"1035","K02970"
"1036","K02483"
"1037","K03761"
"1038","K01638"
"1039","K18707"
"1040","K03110"
"1041","K06190"
"1042","K04564"
"1043","K03974"
"1044","K03969"
"1045","K03970"
"1046","K03973"
"1047","K02426"
"1048","K01673"
"1049","K01447"
"1050","K00575"
"1051","K03412"
"1052","K03413"
"1053","K03408"
"1054","K03407"
"1055","K13588"
"1056","K06180"
"1057","K03089"
"1058","K03814"
"1059","K09747"
"1060","K02343"
"1061","K04755"
"1062","K04487"
"1063","K04487"
"1064","K07018"
"1065","K17837"
"1066","K01951"
"1067","K01322"
"1068","K02879"
"1069","K03040"
"1070","K02948"
"1071","K02952"
"1072","K02291"
"1073","K00162"
"1074","K00161"
"1075","K01689"
"1076","K03624"
"1077","K01955"
"1078","K01956"
"1079","K09117"
"1080","K02316"
"1081","K03086"
"1082","K03734"
"1083","K07336"
"1084","K16090"
"1085","K09883"
"1086","K00529"
"1087","K02351"
"1088","K03179"
"1089","K03592"
"1090","K01092"
"1091","K02477"
"1092","K06889"
"1093","K01278"
"1094","K00133"
"1095","K01356"
"1096","K03750"
"1097","K03637"
"1098","K01609"
"1099","K00766"
"1100","K01658"
"1101","K01657"
"1102","K00658"
"1103","K00382"
"1104","K13821"
"1105","K00626"
"1106","K00632"
"1107","K05973"
