accession	family	genus	species	fasta_obtained	json_obtained	eggnog_obtained	fasta_file_name
GCF_008831155.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter chungangensis	FALSE	FALSE	FALSE	NA
GCF_001570925.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter bifidus	FALSE	FALSE	FALSE	NA
GCF_000381765.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter faecalis	FALSE	FALSE	FALSE	NA
GCF_900626105.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter sp900626105	FALSE	FALSE	FALSE	NA
GCA_910822395.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter sp910822395	FALSE	FALSE	FALSE	NA
GCF_001570905.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter alba	FALSE	FALSE	FALSE	NA
GCF_002931055.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter sp002931055	FALSE	FALSE	FALSE	NA
GCF_002931555.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter sp002931555	FALSE	FALSE	FALSE	NA
GCF_008831075.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter terrae	FALSE	FALSE	FALSE	NA
GCF_002931075.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter sp002931075	FALSE	FALSE	FALSE	NA
GCF_014191305.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter helvolus	FALSE	FALSE	FALSE	NA
GCF_008831085.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter endophyticus	FALSE	FALSE	FALSE	NA
GCF_013410545.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter chungangensis	FALSE	FALSE	FALSE	NA
GCA_009704705.1	f__Microbacteriaceae	g__RFQD01	s__RFQD01 sp009704705	FALSE	FALSE	FALSE	NA
GCA_009925875.1	f__Microbacteriaceae	g__RFQD01	s__RFQD01 sp009925875	FALSE	FALSE	FALSE	NA
GCA_903859205.1	f__Microbacteriaceae	g__CAIOLM01	s__CAIOLM01 sp903859205	FALSE	FALSE	FALSE	NA
GCA_009699665.1	f__Microbacteriaceae	g__UBA963	s__UBA963 sp009699665	FALSE	FALSE	FALSE	NA
GCA_903907615.1	f__Microbacteriaceae	g__UBA963	s__UBA963 sp903907615	FALSE	FALSE	FALSE	NA
GCA_903857985.1	f__Microbacteriaceae	g__UBA963	s__UBA963 sp903857985	FALSE	FALSE	FALSE	NA
GCA_002292955.1	f__Microbacteriaceae	g__UBA963	s__UBA963 sp002292955	FALSE	FALSE	FALSE	NA
GCA_903915075.1	f__Microbacteriaceae	g__UBA963	s__UBA963 sp903915075	FALSE	FALSE	FALSE	NA
GCF_014137865.1	f__Microbacteriaceae	g__Alpinimonas	s__Alpinimonas psychrophila	FALSE	FALSE	FALSE	NA
GCF_003194085.1	f__Microbacteriaceae	g__Aurantimicrobium	s__Aurantimicrobium sp003194085	FALSE	FALSE	FALSE	NA
GCF_002355535.1	f__Microbacteriaceae	g__Aurantimicrobium	s__Aurantimicrobium minutum	FALSE	FALSE	FALSE	NA
GCF_003325955.1	f__Microbacteriaceae	g__Aurantimicrobium	s__Aurantimicrobium sp003325955	FALSE	FALSE	FALSE	NA
GCF_006716695.1	f__Microbacteriaceae	g__Klugiella	s__Klugiella xanthotipulae	FALSE	FALSE	FALSE	NA
GCF_011758565.1	f__Microbacteriaceae	g__Lysinibacter	s__Lysinibacter cavernae	FALSE	FALSE	FALSE	NA
GCF_019049105.1	f__Microbacteriaceae	g__NC76-1	s__NC76-1 sp019049105	FALSE	FALSE	FALSE	NA
GCF_003859945.1	f__Microbacteriaceae	g__Canibacter	s__Canibacter sp003859945	FALSE	FALSE	FALSE	NA
GCF_011752015.1	f__Microbacteriaceae	g__Canibacter	s__Canibacter sp011752015	FALSE	FALSE	FALSE	NA
GCF_018531145.1	f__Microbacteriaceae	g__Canibacter	s__Canibacter sp018531145	FALSE	FALSE	FALSE	NA
GCF_014197205.1	f__Microbacteriaceae	g__Canibacter	s__Canibacter oris	FALSE	FALSE	FALSE	NA
GCF_017161405.1	f__Microbacteriaceae	g__Cx-87	s__Cx-87 sp014529995	FALSE	FALSE	FALSE	NA
GCA_016771945.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sulfamidivorax	FALSE	FALSE	FALSE	NA
GCF_017565745.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter weissii	FALSE	FALSE	FALSE	NA
GCF_910593785.1	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter sp910593785	FALSE	FALSE	FALSE	NA
