"","x"
"955","K02887"
"956","K02916"
"957","K07290"
"958","K01092"
"959","K02806"
"960","K05808"
"961","K02342"
"962","K00859"
"963","K00014"
"964","K06287"
"965","K09773"
"966","K03168"
"967","K07126"
"968","K01918"
"969","K03496"
"970","K01840"
"971","K02485"
"972","K01724"
"973","K07258"
"974","K00943"
"975","K02341"
"976","K01874"
"977","K03424"
"978","K06167"
"979","K06985"
"980","K04765"
"981","K03665"
"982","K03666"
"983","K13599"
"984","K13598"
"985","K07712"
"986","K07708"
"987","K05540"
"988","K00991"
"989","K01802"
"990","K00954"
"991","K00795"
"992","K03602"
"993","K03168"
"994","K05520"
"995","K21023"
"996","K01439"
"997","K00799"
"998","K03978"
"999","K03217"
"1000","K03536"
"1001","K02914"
"1002","K07391"
"1003","K00558"
"1004","K19170"
"1005","K01754"
"1006","K01581"
"1007","K00809"
"1008","K05595"
"1009","K01491"
"1010","K02221"
"1011","K00930"
"1012","K07032"
"1013","K00799"
"1014","K01733"
"1015","K06969"
"1016","K09768"
"1017","K03642"
"1018","K01759"
"1019","K02470"
"1020","K03770"
"1021","K01803"
"1022","K01255"
"1023","K01662"
"1024","K06442"
"1025","K05770"
"1026","K09806"
"1027","K00286"
"1028","K00826"
"1029","K03413"
"1030","K03442"
"1031","K03316"
"1032","K01425"
"1033","K03781"
"1034","K01259"
"1035","K03535"
"1036","K03929"
"1037","K21757"
"1038","K01707"
"1039","K13877"
"1040","K03671"
"1041","K00620"
"1042","K03070"
"1043","K07101"
"1044","K21053"
"1045","K00858"
"1046","K00381"
"1047","K05800"
"1048","K10126"
"1049","K10125"
"1050","K11103"
"1051","K05565"
"1052","K05567"
"1053","K05568"
"1054","K05569"
"1055","K05570"
"1056","K05571"
"1057","K15408"
"1058","K02275"
"1059","K01921"
"1060","K00075"
"1061","K01924"
"1062","K02563"
"1063","K03588"
"1064","K01925"
"1065","K01000"
"1066","K01929"
"1067","K01928"
"1068","K03587"
"1069","K03438"
"1070","K03925"
"1071","K06048"
"1072","K21420"
"1073","K01754"
"1074","K09771"
"1075","K13584"
"1076","K18900"
"1077","K06911"
"1078","K03809"
"1079","K15777"
"1080","K06177"
"1081","K15034"
"1082","K08968"
"1083","K01198"
"1084","K01209"
"1085","K08191"
"1086","K02554"
"1087","K00040"
"1088","K01685"
"1089","K02529"
"1090","K01812"
"1091","K01819"
"1092","K00065"
"1093","K00874"
"1094","K03929"
"1095","K13877"
"1096","K21023"
"1097","K02621"
"1098","K07336"
"1099","K01923"
"1100","K01952"
"1101","K01952"
"1102","K09125"
"1103","K06991"
"1104","K01459"
"1105","K04485"
"1106","K12583"
"1107","K09956"
"1108","K07478"
"1109","K00384"
"1110","K00123"
"1111","K03752"
"1112","K02379"
"1113","K00253"
"1114","K01969"
"1115","K01968"
"1116","K07313"
"1117","K02472"
"1118","K01791"
"1119","K08679"
"1120","K00963"
"1121","K00012"
"1122","K00102"
"1123","K00426"
"1124","K00425"
"1125","K03773"
"1126","K02970"
"1127","K02483"
"1128","K02484"
"1129","K03761"
"1130","K03413"
"1131","K03379"
"1132","K01638"
"1133","K18707"
"1134","K03110"
"1135","K06190"
"1136","K04564"
"1137","K03974"
"1138","K03969"
"1139","K03970"
"1140","K03973"
"1141","K02426"
"1142","K03321"
"1143","K01673"
"1144","K01447"
"1145","K00575"
"1146","K03412"
"1147","K03413"
"1148","K03408"
"1149","K03407"
"1150","K13588"
"1151","K06180"
"1152","K03089"
"1153","K03814"
"1154","K09747"
"1155","K02343"
"1156","K04755"
"1157","K04487"
"1158","K04487"
"1159","K07018"
"1160","K00537"
"1161","K17837"
"1162","K01951"
"1163","K01322"
"1164","K02879"
"1165","K03040"
"1166","K02948"
"1167","K02952"
"1168","K00162"
"1169","K00161"
"1170","K01689"
"1171","K03624"
"1172","K01955"
"1173","K01956"
"1174","K09117"
"1175","K02316"
"1176","K03086"
"1177","K03734"
"1178","K07336"
"1179","K16090"
"1180","K09883"
"1181","K01069"
"1182","K00529"
"1183","K02351"
"1184","K03179"
"1185","K03592"
"1186","K01092"
"1187","K02477"
"1188","K06889"
"1189","K01278"
"1190","K00133"
"1191","K01356"
"1192","K03750"
"1193","K03637"
"1194","K01609"
"1195","K00766"
"1196","K01658"
"1197","K01657"
"1198","K00658"
"1199","K00382"
"1200","K07386"
"1201","K13821"
"1202","K00626"
"1203","K05973"
"1204","K06147"
"1205","K11754"
"1206","K08218"
"1207","K06178"
"1208","K07278"
"1209","K06223"
"1210","K02435"
"1211","K07447"
"1212","K09922"
"1213","K03585"
"1214","K18138"
"1215","K18139"
"1216","K14338"
"1217","K00635"
"1218","K03821"
"1219","K02377"
"1220","K01711"
"1221","K20997"
"1222","K09765"
"1223","K03417"
"1224","K01659"
"1225","K09788"
"1226","K20455"
"1227","K01644"
"1228","K03305"
"1229","K07979"
"1230","K20035"
"1231","K07566"
"1232","K07304"
"1233","K01784"
"1234","K01524"
"1235","K02427"
"1236","K03060"
"1237","K06131"
"1238","K05786"
"1239","K13525"
"1240","K03566"
"1241","K01802"
"1242","K06213"
"1243","K07736"
"1244","K05986"
"1245","K01950"
"1246","K00111"
"1247","K12573"
"1248","K00290"
"1249","K01963"
"1250","K01695"
"1251","K01696"
"1252","K01817"
"1253","K09987"
"1254","K01061"
"1255","K00799"
"1256","K03046"
"1257","K03043"
"1258","K11178"
"1259","K13483"
"1260","K10804"
"1261","K02003"
"1262","K16911"
"1263","K06207"
"1264","K01972"
"1265","K00034"
"1266","K03631"
