accession	genus
GCA_015654575.1	Microbacterium
GCF_005347485.1	Microbacterium
GCF_008727755.1	Microbacterium
GCF_902706225.1	Microbacterium
GCF_011047135.1	Microbacterium
GCF_011761265.1	Microbacterium
GCA_017306415.1	Microbacterium
GCF_000802305.1	Microbacterium
GCF_004135285.1	Microbacterium
GCF_000422405.1	Microbacterium
GCF_009649635.1	Microbacterium
GCF_003626735.1	Microbacterium
GCF_004794465.1	Microbacterium
GCF_003075395.1	Microbacterium
GCF_000967865.1	Microbacterium
GCF_008868005.1	Microbacterium
GCF_008271365.1	Microbacterium
GCF_017939615.1	Microbacterium
GCF_002848265.1	Microbacterium
GCF_904066215.1	Microbacterium
GCF_019056515.1	Microbacterium
GCF_001866135.1	Microbacterium
GCF_900105335.1	Microbacterium
GCF_004794315.1	Microbacterium
GCF_018224615.1	Microbacterium
GCF_007954505.1	Microbacterium
GCF_002979435.1	Microbacterium
GCF_002979475.1	Microbacterium
GCF_014171575.1	Microbacterium
GCF_004794515.1	Microbacterium
GCF_002979655.1	Microbacterium
GCF_900095745.1	Microbacterium
GCA_008868125.1	Microbacterium
GCF_000455825.1	Microbacterium
GCF_006540085.1	Microbacterium
GCF_000956405.1	Microbacterium
GCF_000956525.1	Microbacterium
GCF_006716345.1	Microbacterium
GCA_017405925.1	Microbacterium
GCF_017355365.1	Microbacterium
GCF_002979415.1	Microbacterium
GCF_000956475.1	Microbacterium
GCA_017744855.1	Microbacterium
GCF_001513675.1	Microbacterium
GCF_011752045.1	Microbacterium
GCF_001262495.1	Microbacterium
GCF_002362255.1	Microbacterium
GCF_007667425.1	Microbacterium
GCF_001049495.1	Microbacterium
GCF_001650405.1	Microbacterium
GCF_015354505.1	Microbacterium
GCF_904831005.1	Microbacterium
GCF_900105205.1	Microbacterium
GCF_018613995.1	Microbacterium
GCF_001889265.1	Microbacterium
GCF_002024885.1	Microbacterium
GCF_006385575.1	Microbacterium
GCF_017876435.1	Microbacterium
GCF_001423485.1	Microbacterium
GCF_001423615.1	Microbacterium
GCF_001426995.1	Microbacterium
GCF_003367705.1	Microbacterium
GCF_002872075.1	Microbacterium
GCF_014205075.1	Microbacterium
2Dt1l	Microbacterium
GCF_903645325.1	Microbacterium
GCF_007988825.1	Microbacterium
GCF_015277895.1	Microbacterium
GCF_000763375.1	Microbacterium
GCF_014635185.1	Microbacterium
GCA_003524435.1	Microbacterium
GCF_000685355.1	Microbacterium
GCA_015655255.1	Microbacterium
GCF_003387575.1	Microbacterium
GCF_009758255.1	Microbacterium
GCF_014084045.1	Microbacterium
GCF_016907315.1	Microbacterium
GCF_001878835.1	Microbacterium
GCA_002837415.1	Microbacterium
GCF_900163815.1	Microbacterium
GCA_001897945.1	Microbacterium
GCF_015040615.1	Microbacterium
GCF_016907255.1	Microbacterium
GCF_013409745.1	Microbacterium
GCF_001552355.1	Microbacterium
GCA_018268455.1	Microbacterium
