accession	ko_id	map_id
3Dt2j	K01916	map00760
3Dt2j	K01916	map01240
3Dt2j	K04077	map04940
3Dt2j	K04077	map04212
3Dt2j	K04077	map05134
3Dt2j	K04077	map03018
3Dt2j	K04077	map05152
3Dt2j	K04077	map05417
3Dt2j	K12574	map03018
3Dt2j	K00381	map00920
3Dt2j	K03406	map02030
3Dt2j	K03406	map02020
3Dt2j	K02343	map03430
3Dt2j	K02343	map03030
3Dt2j	K02343	map03440
3Dt2j	K01113	map00790
3Dt2j	K01113	map01240
3Dt2j	K01113	map02020
3Dt2j	K01676	map00020
3Dt2j	K01676	map00720
3Dt2j	K01676	map00620
3Dt2j	K01676	map01200
3Dt2j	K01610	map00710
3Dt2j	K01610	map00020
3Dt2j	K01610	map00010
3Dt2j	K01610	map00620
3Dt2j	K01610	map01200
3Dt2j	K00278	map00250
3Dt2j	K00278	map00760
3Dt2j	K00278	map01240
